"","Date","Open","High","Low","Close","Volume","Adj.Close"
"1","2014-12-01",47.880001,49.060001,44.900002,46.450001,29467800,44.584778
"2","2014-11-03",46.889999,50.049999,46.73,47.810001,28659100,45.890167
"3","2014-10-01",46.27,46.970001,42.099998,46.950001,38655800,44.782246
"4","2014-09-02",45.43,47.57,44.529999,46.360001,42564700,44.219486
"5","2014-08-01",43.209999,45.470001,42.209999,45.43,25501300,43.332428
"6","2014-07-01",41.860001,45.709999,41.049999,43.16,34688800,40.911713
"7","2014-06-02",40.950001,42.290001,39.860001,41.700001,27932600,39.527767
"8","2014-05-01",40.240002,40.970001,38.509998,40.939999,28996600,38.807354
"9","2014-04-01",41.150002,41.66,38.900002,40.400002,37217700,38.027214
"10","2014-03-03",37.919998,41.5,37.490002,40.990002,39300500,38.582561
"11","2014-02-03",37.740002,38.459999,35.689999,38.310001,39290500,36.059967
"12","2014-01-02",37.349998,37.889999,34.630001,37.84,48732700,35.352474
"13","2013-12-02",38.09,38.98,35.529999,37.41,40196200,34.950741
"14","2013-11-01",35.669998,38.290001,35.389999,38.130001,41126100,35.623409
"15","2013-10-01",33.349998,36.290001,32.799999,35.41,43783200,32.83321
"16","2013-09-03",31.75,33.75,30.950001,33.279999,64140000,30.85821
"17","2013-08-01",32.060001,35.200001,30.84,33.400002,49729700,30.969479
"18","2013-07-01",34.75,36.43,31.02,31.84,52501300,29.31642
"19","2013-06-03",34.919998,35.779999,32.57,34.540001,50535000,31.802422
"20","2013-05-01",32.93,35.279999,32.32,34.900002,51273800,32.133888
"21","2013-04-01",28.639999,33.110001,28.110001,33.099998,70041900,30.264334
"22","2013-03-01",27.719999,28.66,27.52,28.610001,45019900,26.158993
"23","2013-02-01",27.67,28.200001,27.1,27.799999,42969800,25.418383
"24","2013-01-02",27.25,28.23,26.280001,27.450001,56932500,24.892277
"25","2012-12-03",26.780001,27.73,26.26,26.709999,49503000,24.221226
"26","2012-11-01",28.84,30.200001,26.34,26.620001,66390700,24.139614
"27","2012-10-01",29.809999,30.25,27.76,28.540001,55946000,25.669781
"28","2012-09-04",30.450001,31.610001,29.74,29.76,49859800,26.767086
"29","2012-08-01",29.59,30.959999,28.969999,30.82,30797300,27.720484
"30","2012-07-02",30.620001,31.049999,28.540001,29.469999,42105900,26.331808
"31","2012-06-01",28.76,31.139999,28.32,30.59,48969400,27.332544
"32","2012-05-01",32.049999,32.34,28.639999,29.190001,47886600,26.081627
"33","2012-04-02",32.220001,32.889999,30.23,32.02,48821800,28.423759
"34","2012-03-01",31.93,32.950001,31.49,32.259998,44277900,28.636803
"35","2012-02-01",29.790001,32,29.709999,31.74,52182700,28.175207
"36","2012-01-03",26.549999,29.950001,26.389999,29.530001,70271500,26.041977
"37","2011-12-01",25.559999,26.190001,25.16,25.959999,49264800,22.893656
"38","2011-11-01",26.190001,27.200001,24.299999,25.58,53693200,22.558542
"39","2011-10-03",24.719999,27.5,24.26,26.629999,60235300,23.308996
"40","2011-09-01",26.459999,27.5,24.6,24.889999,63522800,21.785992
"41","2011-08-01",27.51,27.690001,23.790001,26.6,77332100,23.28274
"42","2011-07-01",25.93,28.15,25.84,27.4,68186100,23.832548
"43","2011-06-01",24.99,26,23.65,26,61376900,22.614826
"44","2011-05-02",25.940001,26.25,24.030001,25.01,67821800,21.753725
"45","2011-04-01",25.530001,26.870001,24.719999,25.92,81658100,22.39843
"46","2011-03-01",26.6,26.780001,24.68,25.389999,59744300,21.940435
"47","2011-02-01",27.799999,28.34,26.43,26.58,61355100,22.96876
"48","2011-01-03",28.049999,29.459999,27.42,27.73,71314300,23.821714
"49","2010-12-01",25.57,28.4,25.559999,27.91,48111900,23.976345
"50","2010-11-01",26.879999,28.870001,24.93,25.26,68402700,21.699839
"51","2010-10-01",24.77,27.200001,23.780001,26.67,66458300,22.771198
"52","2010-09-01",23.67,25.530001,23.540001,24.49,63542900,20.909883
"53","2010-08-02",25.99,26.379999,23.32,23.469999,61156600,20.038994
"54","2010-07-01",23.09,26.41,22.73,25.809999,71053500,21.919987
"55","2010-06-01",25.530001,26.93,22.950001,23.01,79675500,19.541996
"56","2010-05-03",30.67,31.059999,24.559999,25.799999,89381300,21.911493
"57","2010-04-01",29.35,31.58,28.620001,30.540001,65821100,25.820585
"58","2010-03-01",28.77,30.57,28.24,29.290001,51043300,24.763752
"59","2010-02-01",28.389999,29.030001,27.57,28.67,58684900,24.239561
"60","2010-01-04",30.620001,31.24,27.66,28.18,81765200,23.714386
